THE PATH -- plan handplan, run 0, 786 landings
  idx  level              lv  author            beat       orig    terr   surf  lift   cell                    material/form  move     dist   rise    t
     0  BASALT FLUES        4  (none)            start      -         26   26.0   0.0   (  26,  25, -19)   netherrack  /floor  -        0.00  +0.0    0.00
     1  BASALT FLUES        4  BASALT FLUES      landmark   -         26   27.0   1.0   (  27,  26, -17)   blackstone  /full   hop      2.33  +1.0    0.33
     2  BASALT FLUES        4  BASALT FLUES      landmark   -         26   28.0   2.0   (  28,  27, -14)   blackstone  /full   hop      3.04  +1.0    0.76
     3  BASALT FLUES        4  BASALT FLUES      crust      -         26   27.0   1.0   (  28,  26, -11)   glowstone   /full   hop      2.88  -1.0    1.16
     4  BASALT FLUES        4  BASALT FLUES      crust      -         26   28.0   2.0   (  30,  27,  -8)   blackstone  /full   hop      3.10  +1.0    1.60
     5  BASALT FLUES        4  BASALT FLUES      crust      -         26   28.0   2.0   (  30,  27,  -5)   magma       /full   walk     2.32  +0.0    2.01
     6  BASALT FLUES        4  BASALT FLUES      crust      -         26   28.0   2.0   (  30,  27,  -2)   soulsand    /full   walk     2.32  +0.0    2.43
     7  BASALT FLUES        4  BASALT FLUES      crust      -         26   29.0   3.0   (  31,  28,   1)   blackstone  /full   hop      3.09  +1.0    2.86
     8  BASALT FLUES        4  BASALT FLUES      crust      -         26   30.0   4.0   (  31,  29,   4)   glowstone   /full   hop      2.88  +1.0    3.27
     9  BASALT FLUES        4  BASALT FLUES      crust      -         26   28.0   2.0   (  30,  27,   9)   magma       /slime  hop      4.98  -2.0    3.97
    10  BASALT FLUES        4  BASALT FLUES      crust      -         26   30.0   4.0   (  29,  29,  12)   magma       /full   bounce   2.45  +2.0    4.62
    11  BASALT FLUES        4  BASALT FLUES      soffit     -         26   31.0   5.0   (  27,  30,  15)   blackstone  /full   hop      3.10  +1.0    5.05
    12  BASALT FLUES        4  BASALT FLUES      ashbank    -         26   32.0   6.0   (  26,  31,  18)   netherrack  /full   hop      3.10  +1.0    5.49
    13  BASALT FLUES        4  BASALT FLUES      ascent     approa    26   32.0   6.0   (  24,  31,  21)   blackstone  /full   hop      3.49  +0.0    5.98
    14  BASALT FLUES        4  BASALT FLUES      ascent     approa    26   32.0   6.0   (  22,  31,  23)   blackstone  /full   hop      2.71  +0.0    6.36
    15  BASALT FLUES        4  BASALT FLUES      ascent     approa    26   32.0   6.0   (  20,  31,  25)   blackstone  /full   hop      2.71  +0.0    6.74
    16  BASALT FLUES        4  BASALT FLUES      ascent     stair     26   33.0   7.0   (  18,  32,  26)   magma       /full   hop      2.12  +1.0    7.04
    17  THE PILLARS         5  BASALT FLUES      ascent     crossi    32   32.0   0.0   (  15,  31,  28)   purpur      /floor  hop      3.49  -1.0    7.53
    18  THE PILLARS         5  THE PILLARS       colonnade  -         32   33.0   1.0   (  12,  32,  27)   sealantern  /full   hop      3.04  +1.0    7.96
    19  THE PILLARS         5  THE PILLARS       colonnade  -         32   34.0   2.0   (   9,  33,  28)   obsidian    /full   hop      3.04  +1.0    8.39
    20  THE PILLARS         5  THE PILLARS       colonnade  -         32   34.0   2.0   (   7,  33,  29)   endstone    /full   walk     1.48  +0.0    8.65
    21  THE PILLARS         5  THE PILLARS       colonnade  -         32   33.5   1.5   (   3,  33,  32)   obsidian    /slab   hop      4.65  -0.5    9.31
    22  THE PILLARS         5  THE PILLARS       colonnade  -         32   34.0   2.0   (   0,  33,  31)   obsidian    /full   hop      3.04  +0.5    9.73
    23  THE PILLARS         5  THE PILLARS       colonnade  -         32   35.0   3.0   (  -3,  34,  31)   chorus      /full   hop      2.88  +1.0   10.14
    24  THE PILLARS         5  THE PILLARS       landmark   -         32   35.0   3.0   (  -6,  34,  31)   obsidian    /full   hop      2.88  +0.0   10.55
    25  THE PILLARS         5  THE PILLARS       stand      -         32   34.0   2.0   (  -9,  33,  29)   purpur      /full   hop      3.49  -1.0   11.04
    26  THE PILLARS         5  THE PILLARS       stand      -         32   34.0   2.0   ( -11,  33,  27)   obsidian    /full   walk     1.87  +0.0   11.37
    27  THE PILLARS         5  THE PILLARS       stand      -         32   35.0   3.0   ( -14,  34,  26)   chorus      /full   hop      3.09  +1.0   11.80
    28  THE PILLARS         5  THE PILLARS       stand      -         32   36.0   4.0   ( -17,  35,  24)   endstone    /full   hop      3.10  +1.0   12.24
    29  THE PILLARS         5  THE PILLARS       court      -         32   36.0   4.0   ( -20,  35,  21)   purpur      /full   hop      4.22  +0.0   12.84
    30  THE PILLARS         5  THE PILLARS       court      -         32   36.0   4.0   ( -22,  35,  19)   obsidian    /full   walk     1.87  +0.0   13.17
    31  THE PILLARS         5  THE PILLARS       court      -         32   37.0   5.0   ( -24,  36,  16)   endstone    /full   hop      3.10  +1.0   13.60
    32  THE PILLARS         5  THE PILLARS       court      -         32   36.0   4.0   ( -26,  35,  13)   chorus      /full   hop      3.58  -1.0   14.11
    33  THE PILLARS         5  THE PILLARS       ascent     design    32   36.0   4.0   ( -27,  35,  10)   sealantern  /full   hop      3.04  +0.0   14.54
    34  THE PILLARS         5  THE PILLARS       ascent     design    32   39.0   7.0   ( -30,  38,  11)   obsidian    /full   bubble   2.45  +3.0   15.23
    35  THE PILLARS         5  THE PILLARS       ascent     design    32   40.0   8.0   ( -30,  39,   8)   endstone    /full   hop      2.32  +1.0   15.56
    36  THE PILLARS         5  THE PILLARS       ascent     approa    32   40.0   8.0   ( -31,  39,   5)   obsidian    /full   hop      3.37  +0.0   16.03
    37  SPORE HOLLOW        6  THE PILLARS       ascent     crossi    39   39.0   0.0   ( -31,  38,   0)   mycelium    /floor  hop      4.88  -1.0   16.72
    38  SPORE HOLLOW        6  SPORE HOLLOW      crust      -         39   40.0   1.0   ( -31,  39,  -3)   shroomlight /full   hop      2.88  +1.0   17.12
    39  SPORE HOLLOW        6  SPORE HOLLOW      crust      -         39   41.0   2.0   ( -31,  40,  -6)   coarse      /full   hop      2.88  +1.0   17.53
    40  SPORE HOLLOW        6  SPORE HOLLOW      sinkhole   -         39   42.0   3.0   ( -30,  41,  -9)   mushroomstem/full   hop      3.04  +1.0   17.96
    41  SPORE HOLLOW        6  SPORE HOLLOW      sinkhole   -         39   43.0   4.0   ( -29,  42, -12)   mushroomred /full   hop      3.04  +1.0   18.39
    42  SPORE HOLLOW        6  SPORE HOLLOW      sinkhole   -         39   41.0   2.0   ( -27,  40, -17)   slime       /slime  hop      5.27  -2.0   19.13
    43  SPORE HOLLOW        6  SPORE HOLLOW      sinkhole   -         39   43.0   4.0   ( -25,  42, -20)   mushroomred /full   bounce   2.79  +2.0   19.82
    44  SPORE HOLLOW        6  SPORE HOLLOW      landmark   -         39   43.0   4.0   ( -23,  42, -22)   mushroomstem/full   hop      3.11  +0.0   20.26
    45  SPORE HOLLOW        6  SPORE HOLLOW      landmark   -         39   43.0   4.0   ( -20,  42, -25)   mushroomred /full   hop      4.12  +0.0   20.84
    46  SPORE HOLLOW        6  SPORE HOLLOW      landmark   -         39   43.0   4.0   ( -17,  42, -27)   mushroomstem/full   hop      3.49  +0.0   21.33
    47  SPORE HOLLOW        6  SPORE HOLLOW      brackets   -         39   41.0   2.0   ( -13,  40, -29)   mushroomstem/full   hop      4.35  -2.0   21.94
    48  SPORE HOLLOW        6  SPORE HOLLOW      brackets   -         39   41.0   2.0   ( -11,  40, -29)   podzol      /full   walk     1.32  +0.0   22.18
    49  SPORE HOLLOW        6  SPORE HOLLOW      brackets   -         39   42.0   3.0   (  -8,  41, -30)   mushroomred /full   hop      3.09  +1.0   22.61
    50  SPORE HOLLOW        6  SPORE HOLLOW      brackets   -         39   43.0   4.0   (  -5,  42, -30)   mushroomstem/full   hop      2.88  +1.0   23.02
    51  SPORE HOLLOW        6  SPORE HOLLOW      gills      -         39   42.0   3.0   (  -2,  41, -30)   mushroomred /full   hop      2.88  -1.0   23.42
    52  SPORE HOLLOW        6  SPORE HOLLOW      gills      -         39   42.5   3.5   (   1,  42, -30)   mushroomstem/slab   hop      2.88  +0.5   23.83
    53  SPORE HOLLOW        6  SPORE HOLLOW      spores     -         39   43.0   4.0   (   5,  42, -29)   mushroomred /full   hop      3.78  +0.5   24.36
    54  SPORE HOLLOW        6  SPORE HOLLOW      ascent     approa    39   43.0   4.0   (   8,  42, -28)   mushroomstem/full   hop      3.04  +0.0   24.79
    55  SPORE HOLLOW        6  SPORE HOLLOW      ascent     approa    39   43.0   4.0   (  11,  42, -27)   mushroomstem/full   hop      3.04  +0.0   25.22
    56  THE ARCHIVE         7  SPORE HOLLOW      ascent     crossi    43   43.0   0.0   (  16,  42, -27)   plaster     /floor  hop      4.26  +0.0   25.82
    57  THE ARCHIVE         7  THE ARCHIVE       stacks     -         43   44.0   1.0   (  19,  43, -25)   lantern     /full   hop      3.10  +1.0   26.26
    58  THE ARCHIVE         7  THE ARCHIVE       stacks     -         43   45.0   2.0   (  22,  44, -23)   bookshelf   /full   hop      3.10  +1.0   26.69
    59  THE ARCHIVE         7  THE ARCHIVE       stacks     -         43   45.0   2.0   (  24,  44, -21)   oak         /full   walk     1.87  +0.0   27.02
    60  THE ARCHIVE         7  THE ARCHIVE       stacks     -         43   46.0   3.0   (  26,  45, -19)   bookshelf   /full   hop      3.10  +1.0   27.46
    61  THE ARCHIVE         7  THE ARCHIVE       stacks     -         43   45.0   2.0   (  29,  44, -15)   darkoak     /full   hop      4.88  -1.0   28.15
    62  THE ARCHIVE         7  THE ARCHIVE       stacks     -         43   46.0   3.0   (  30,  45, -12)   bookshelf   /full   hop      3.04  +1.0   28.58
    63  THE ARCHIVE         7  THE ARCHIVE       catalogue  -         43   46.0   3.0   (  30,  45,  -9)   darkoak     /full   hop      2.88  +0.0   28.98
    64  THE ARCHIVE         7  THE ARCHIVE       catalogue  -         43   46.0   3.0   (  31,  45,  -7)   oak         /full   walk     1.48  +0.0   29.24
    65  THE ARCHIVE         7  THE ARCHIVE       catalogue  -         43   47.0   4.0   (  31,  46,  -4)   bookshelf   /full   hop      3.09  +1.0   29.68
    66  THE ARCHIVE         7  THE ARCHIVE       catalogue  -         43   48.0   5.0   (  32,  47,  -1)   plaster     /full   hop      3.04  +1.0   30.11
    67  THE ARCHIVE         7  THE ARCHIVE       gallery    -         43   47.0   4.0   (  33,  46,   2)   darkoak     /full   hop      3.04  -1.0   30.54
    68  THE ARCHIVE         7  THE ARCHIVE       gallery    -         43   47.0   4.0   (  33,  46,   5)   oak         /full   walk     2.32  +0.0   30.95
    69  THE ARCHIVE         7  THE ARCHIVE       gallery    -         43   48.0   5.0   (  32,  47,   8)   bookshelf   /full   hop      3.09  +1.0   31.39
    70  THE ARCHIVE         7  THE ARCHIVE       aisles     -         43   48.0   5.0   (  31,  47,  11)   bookshelf   /full   hop      3.04  +0.0   31.81
    71  THE ARCHIVE         7  THE ARCHIVE       aisles     -         43   48.0   5.0   (  30,  47,  13)   oak         /full   walk     1.48  +0.0   32.08
    72  THE ARCHIVE         7  THE ARCHIVE       aisles     -         43   48.0   5.0   (  29,  47,  16)   darkoak     /full   hop      3.42  +0.0   32.56
    73  THE ARCHIVE         7  THE ARCHIVE       aisles     -         43   48.0   5.0   (  27,  47,  18)   bookshelf   /full   hop      2.71  +0.0   32.94
    74  THE ARCHIVE         7  THE ARCHIVE       aisles     -         43   48.0   5.0   (  25,  47,  21)   bookshelf   /full   hop      3.49  +0.0   33.43
    75  THE ARCHIVE         7  THE ARCHIVE       ascent     approa    43   48.0   5.0   (  23,  47,  24)   bookshelf   /full   hop      3.49  +0.0   33.92
    76  THE ARCHIVE         7  THE ARCHIVE       ascent     approa    43   48.0   5.0   (  21,  47,  26)   bookshelf   /full   hop      2.71  +0.0   34.30
    77  THE ARCHIVE         7  THE ARCHIVE       ascent     stair     43   49.0   6.0   (  19,  48,  27)   darkoak     /full   hop      2.12  +1.0   34.60
    78  PUMPKIN ROWS        8  THE ARCHIVE       ascent     crossi    48   48.0   0.0   (  15,  47,  29)   farmland    /floor  hop      4.35  -1.0   35.21
    79  PUMPKIN ROWS        8  PUMPKIN ROWS      headland   -         48   49.0   1.0   (  12,  48,  28)   magma       /full   hop      3.04  +1.0   35.64
    80  PUMPKIN ROWS        8  PUMPKIN ROWS      headland   -         48   50.0   2.0   (   9,  49,  29)   hay         /full   hop      3.04  +1.0   36.07
    81  PUMPKIN ROWS        8  PUMPKIN ROWS      headland   -         48   50.0   2.0   (   7,  49,  30)   oak         /full   walk     1.48  +0.0   36.33
    82  PUMPKIN ROWS        8  PUMPKIN ROWS      headland   -         48   51.0   3.0   (   4,  50,  31)   pumpkin     /full   hop      3.10  +1.0   36.77
    83  PUMPKIN ROWS        8  PUMPKIN ROWS      headland   -         48   52.0   4.0   (   1,  51,  31)   hay         /full   hop      2.88  +1.0   37.18
    84  PUMPKIN ROWS        8  PUMPKIN ROWS      landmark   -         48   51.0   3.0   (  -2,  50,  29)   hay         /full   hop      2.79  -1.0   37.57
    85  PUMPKIN ROWS        8  PUMPKIN ROWS      leat       -         48   51.0   3.0   (  -6,  50,  30)   hay         /full   hop      4.22  +0.0   38.16
    86  PUMPKIN ROWS        8  PUMPKIN ROWS      leat       -         48   51.5   3.5   (  -9,  51,  30)   gravel      /slab   hop      2.88  +0.5   38.57
    87  PUMPKIN ROWS        8  PUMPKIN ROWS      leat       -         48   51.0   3.0   ( -12,  50,  28)   pumpkin     /full   hop      3.49  -0.5   39.06
    88  PUMPKIN ROWS        8  PUMPKIN ROWS      leat       -         48   50.0   2.0   ( -16,  49,  27)   oak         /full   hop      4.00  -1.0   39.62
    89  PUMPKIN ROWS        8  PUMPKIN ROWS      farrows    -         48   51.0   3.0   ( -19,  50,  25)   magma       /full   hop      3.10  +1.0   40.06
    90  PUMPKIN ROWS        8  PUMPKIN ROWS      farrows    -         48   51.0   3.0   ( -21,  50,  24)   hay         /full   walk     1.48  +0.0   40.32
